order_id,customer_id,order_date,country,category,product,quantity,unit_price,total_amount,status,payment_method,is_returned
ORD-004208,CUST-6426,22/07/2022,canada,Clothing,Notebook Set,4,38.57,154.28,Shipped,PayPal,TRUE
ORD-006584,,10-12-2023,,,Backpack,-2,,,Shipped,Cash,True
ORD-013539,,26/07/2023,,,Travel Mug,9,,,Delivered,PayPal,1
ORD-038448,CUST-2286,02-18-2022,Germany, clothing,Bluetooth Speaker,2,192.93,385.86,shipped,Cash,No
ORD-022268,CUST-6074,18/06/2024,Australia,Clothing,Office Chair,5,99.7,446.8,pending,Bank Transfer,Y
ORD-003919,,03/02/2023,,,Coffee Table,2,,,Pending,Cash,True
ORD-033802,CUST-1788,23/09/2023,US,Home & Garden,LED Strip Lights,7,$64.81,453.67,Pending,PayPal,no
ORD-034516,CUST-5877,10/07/2022,,,Python Programming Book,4,208.64,834.56,Cancelled,Credit Card,True
ORD-026972,CUST-1165,15/04/2022,United Kingdom,Clothing,Laptop Stand,2,$259.61,519.22,Pending,Cash,False
ORD-022533,CUST-2637,21 Jun 2022,United Kingdom,books,Phone Case,1,"$1,920.61",1920.61,delivered,PayPal,False
ORD-003280,,28/06/2022,,,USB Hub,7,,,Shipped,PayPal,False
ORD-041488,CUST-4357,"May 23, 2022",AUS,SPORTS,Resistance Bands,1,"$1,213.34",1213.34,Cancelled,Bank Transfer,False
ORD-030776,CUST-5440,05-30-2022,United States,Home and Garden,Office Chair,5,38.29,191.45,cancelled,Credit Card,Yes
ORD-036314,CUST-2500,02-08-2024,U.K.,home & garden,Travel Mug,7,$284.47,1991.29,shipped,Credit Card,0
ORD-039503,CUST-3640,11 Oct 2022,germany,Sports ,Coffee Table,8,"$1,295.01",10360.08,Cancelled,Bank Transfer,No
ORD-029721,CUST-6770,"September 29, 2023",U.S.A,BOOKS,Wireless Headphones,2,£174.02,348.04,shipped,Credit Card,0
ORD-048728,CUST-5152,2023-04-13,United States,clothing ,Water Bottle,2,124.49,248.98,Cancelled,Bank Transfer,TRUE
ORD-020825,CUST-5544,25/11/2022,AUS,Sports ,Travel Mug,8,138.19,1105.52,cancelled,Bank Transfer,yes
